Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total population,Sex ratio (males per 100 females),Median age (years),Unemployment Rate,Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,Asian,Hispanic or Latino (of any race),geoid,typo,INTPTLAT_x,INTPTLONG,label_bin,label_three,label_four,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT_y,INTPTLONG,relation_max_fee,relation_min_fee
103,403,37.2,83322,97025,1042,4.6,5,616700,2723,818,1554,2982,1359,1342,3415,89.09,44.7,0.08,0.03,0.08,0.01,0.12,0.07,0.01,0.12,0.06,0.28,0.07,0.13,0.03,0.02,0.91,0.72,0.56,0.04078389831,0.34,0.08,0.4,0.07,0.02,0.04194654271,0.68,0.26,0.41,0.2,0.12,0.06,0.29,0.07,0.3,0.54,0.02,0.36,0.13,36081146300,MHI - Stable Exclusion,40.76,-73.78,0,0,0,NY,323967,0,0.125,0,40.7594665,-73.7811007,1854,1546
133,367,36.4,71136,87103,1355,2.9,3.9,645600,2813,868,1549,3141,1266,1251,3150,82.5,36.1,0.06,0.07,0.02,0.08,0.07,0.07,0.04,0.11,0.08,0.26,0.12,0.06,0.04,0.06,0.92,0.77,0.72,0.05,0.43,0.1,0.17,0.07,0.05,0.01,0.82,0.08,0.39,0.41,0.05,0.02,0.4,0.06,0.12,0.54,0.01,0.42,0.14,36081146700,MHI - Ongoing Exclusion,40.76,-73.77,0,0,0,NY,354572,0,0.137,0,40.7612034,-73.7732141,1833,1554
176,349,37.8,73125,94482,1395,4.944467354,4.6,622400,2254,884,1658,3265,1725,1725,3265,98.24,46,0.08,0.04,0.06,0.05,0.09,0.04,0.01,0.12,0.13,0.25,0.11,0.06,0.03,0.01,0.86,0.73,0.44,0.04,0.26,0.16,0.17,0.08,0.02,0.02,0.49,0.19,0.35,0.23,0.06,0.06,0.49,0.04,0.24,0.43,0.01,0.48,0.13,36081147100,MHI - Stable Exclusion,40.76,-73.76,0,0,0,NY,421861,0,0.163,0,40.7614709,-73.7634353,2022,1496
325,719,38.6,81031,90886,1757,1.6,5.4,631300,2790,987,1744,4821,1846,1739,4821,98.97,43.5,0.07,0.05,0.06,0.03,0.14,0.05,0.03,0.13,0.1,0.22,0.07,0.07,0.05,0.03,0.89,0.73,0.37,0.03,0.21,0.11,0.34,0.06,0.05,0.01,0.52,0.18,0.27,0.27,0.04,0.02,0.47,0.03,0.21,0.56,0.02,0.3,0.25,36081147900,MHI - Stable Exclusion,40.77,-73.74,0,0,0,NY,914228,0,0.353,0,40.7696001,-73.7422559,2038,1442
177,442,41.7,120766,167347,1099,5,7.4,1015900,4000,1270,1717,2870,745,726,2870,97.39,45.8,0.04,0.1,0.08,0.04,0.04,0.05,0.01,0.11,0.26,0.22,0.03,0.04,0.04,0.01,0.97,0.9,0.14,0.02,0.13,0.02,0.46,0.2,0.01,0.01,0.61,0.2,0.27,0.25,0.1029240631,0.02,0.55,0.08,0.24,0.66,0.01,0.29,0.07,36081148300,MHI - Advanced Gentrification,40.78,-73.75,1,2,3,NY,1334134,1047226,0.515,0.404,40.7758594,-73.7519701,2085,1658
209,460,36.2,94375,124459,1111,4.944467354,6.9,842900,2915,1230,1910,3113,907,793,3123,78.56,47.5,0.02,0.07,0.04,0.02746184285,0.12,0.03,0.05,0.13,0.14,0.24,0.07,0.06,0.03,0.09948643411,1,0.83,0.11,0.01,0.1,0.06,0.37,0.19,0.02,0.04194654271,0.54,0.26,0.19,0.29,0.02,0.03,0.58,0.04,0.31,0.71,0.2795633877,0.25,0.12,36081150701,MHI - Ongoing Exclusion,40.76,-73.74,0,0,0,NY,877002,0,0.339,0,40.762201,-73.7397018,2038,1442
153,426,40.8,78258,97416,1293,7.9,5.6,685800,3207,924,1442,3128,1330,1270,3270,84.43,45.7,0.02,0.04,0.05,0.05,0.07,0.03,0.03797297297,0.13,0.1,0.24,0.11,0.12,0.05,0.04,0.91,0.76,0.22,0.05,0.21,0.1,0.3,0.13,0.03,0.02,0.5,0.24,0.35,0.29,0.07,0.07,0.45,0.04,0.28,0.59,0.01,0.32,0.13,36081150702,MHI - Stable Exclusion,40.77,-73.73,0,0,0,NY,857372,0,0.331,0,40.7664168,-73.7307216,2038,1426
419,653,43.9,83393,95548,2625,7.6,5,393800,2075,941,2038,6478,2903,2828,6535,80.03,44.9,0.07,0.01,0.04,0.06,0.09,0.07,0.05,0.16,0.06,0.21,0.07,0.09,0.08,0.09,0.91,0.71,0.23,0.01,0.28,0.11,0.32,0.09,0.06558448188,0.04194654271,0.64,0.18,0.32,0.29,0.03,0.04,0.44,0.04,0.22,0.47,0.01,0.5,0.11,36081152901,MHI - Ongoing Exclusion,40.75,-73.73,0,0,0,NY,1398292,0,0.54,0,40.7523364,-73.7336545,1910,1325
493,429,37.7,77468,86334,2229,4.944467354,4.9,246500,1484,649,1663,5097,2084,2004,5119,81.65,44.9,0.06,0.02,0.02,0.02,0.09,0.05,0.03,0.09,0.13,0.25,0.17,0.06,0.06,0.02,0.95,0.77,0.17,0.04078389831,0.24,0.15,0.36,0.07,0.03,0.04194654271,0.54,0.2,0.32,0.29,0.06,0.04,0.49,0.03,0.24,0.42,0.06,0.45,0.03,36081152902,MHI - Advanced Gentrification,40.76,-73.72,1,2,3,NY,1038708,0,0.401,0,40.7593367,-73.7239893,2298,1426
302.4725698,516.2725962,49.3,63368,95190,1650,4.944467354,3.6,436400,1933,498,2298,1926,316,305,1926,50.7,80.5,0.08903938521,0.03,0.03900655572,0.08,0.06,0.03,0.03797297297,0.09,0.27,0.2,0.107284545,0.2,0.03,0.02,1,0.74,0.08,0.04078389831,0.35,0.22,0.16,0.01,0.06558448188,0.02,0.14,0.87,0.08,0.07,0.01,0.01,0.47,0.08,0.91,0.99,0.2795633877,0.1562713675,0.02,36081155101,MHI - Ongoing Exclusion,40.76,-73.71,0,0,0,NY,475147,0,0.183,0,40.7566433,-73.7142398,2038,1426
672,572,37.8,88899,94907,3651,4.944467354,4,245000,1548,378,1426,7725,2042,1878,8665,84.24,45.7,0.08,0.03,0.02,0.02,0.1,0.07,0.03,0.13,0.16,0.32,0.03,0.05,0.04,0.04,0.95,0.84,0.37,0.05,0.22,0.08,0.29,0.08,0.02,0.04194654271,0.63,0.18,0.38,0.32,0.03,0.05,0.38,0.05,0.22,0.6,0.1,0.23,0.14,36081155102,MHI - Stable Exclusion,40.75,-73.72,0,0,0,NY,1441405,0,0.557,0,40.751172,-73.7151103,2298,1325
81,68,37.8,60966.1432,75263,254,4.944467354,3.7,663500,3909,835.5364007,1325,584,541,480,1382,155.45,45.5,0.05,0.05724859622,0.05,0.03,0.12,0.04,0.01,0.1,0.1,0.21,0.07,0.06,0.18,0.2,0.95,0.48,0.86,0.05,0.33,0.3,0.17,0.05078651685,0.01,0.03,1,0.17,0.67,0.39,0.24,0.13,0.22,0.04,0.22,0.35,0.24,0.36,0.21,36081156700,MHI - Stable Exclusion,40.74,-73.73,0,0,0,NY,1472032,0,0.568,0,40.7405112,-73.7297229,2038,1196
932,818,46.4,80931,92590,2590,4.944467354,5.9,540100,2348,846,1548,8303,3955,3874,8310,83.52,34.9,0.06,0.05,0.05,0.03,0.1,0.11,0.02,0.09,0.1,0.24,0.13,0.04,0.04,0.08,0.9,0.75,0.18,0.02,0.19,0.09,0.41,0.15,0.03,0.04194654271,0.67,0.14,0.25,0.25,0.04,0.07,0.4,0.04,0.19,0.35,0.05,0.53,0.12,36081157101,MHI - Stable Exclusion,40.74,-73.72,0,0,0,NY,1225445,0,0.473,0,40.7385002,-73.7195555,1811,1293
153,336,44.6,77292,99206,606,4.944467354,5.6,500000,2800,800,1753,2110,1150,1140,2110,115.97,35.8,0.12,0.04,0.03,0.03,0.18,0.15,0.02,0.02,0.1,0.25,0.12,0.01,0.05,0.06,0.9,0.63,0.37,0.02,0.31,0.05,0.3,0.17,0.08,0.04194654271,0.72,0.13,0.31,0.19,0.09,0.07,0.34,0.03,0.15,0.26,0.01,0.59,0.18,36081157102,MHI - Stable Exclusion,40.73,-73.73,0,0,0,NY,320045,0,0.124,0,40.7349892,-73.7250512,1548,1196
273,349,38.9,93466,116459,1805,4.944467354,5.9,571200,2852,935,1526,4848,2324,2277,4848,91.39,48.4,0.05,0.03,0.02,0.06,0.17,0.1,0.02,0.1,0.1,0.27,0.03,0.05,0.04,0.05,0.91,0.75,0.13,0.02,0.11,0.12,0.34,0.24,0.02,0.01,0.57,0.21,0.37,0.23,0.06,0.04,0.45,0.02,0.28,0.41,0.03,0.48,0.05,36081157901,MHI - Ongoing Exclusion,40.74,-73.7,0,0,0,NY,913547,0,0.353,0,40.744724,-73.704582,2298,1426
133,426,40.6,103125,105636,1100,4.944467354,6.6,603200,3023,1007,1811,3796,1864,1801,3866,88.04,41.3,0.04,0.04,0.02,0.02,0.08,0.13,0.01,0.06,0.16,0.29,0.09,0.04,0.05,0.04,0.95,0.77,0.09,0.01,0.22,0.04,0.43,0.27,0.01,0.04194654271,0.6,0.18,0.34,0.31,0.06,0.04,0.38,0.02,0.24,0.39,0.02,0.54,0.08,36081157902,MHI - Advanced Gentrification,40.74,-73.71,1,2,3,NY,722590,0,0.279,0,40.7415838,-73.7119991,2298,1293
198,490,39.6,82148,91923,1396,9.5,5.9,563500,2807,942,1640,4039,1953,1889,4039,78.88,46.6,0.08,0.05,0.03,0.04,0.07,0.11,0.02,0.12,0.08,0.33,0.05,0.04,0.07,0.01,0.95,0.72,0.2,0.02,0.25,0.1,0.28,0.19,0.01,0.01,0.55,0.19,0.19,0.26,0.09,0.08,0.43,0.03,0.25,0.4,0.02,0.56,0.08,36081157903,MHI - Stable Exclusion,40.73,-73.71,0,0,0,NY,686014,0,0.265,0,40.733795,-73.7075635,1811,1293
405,400,36.7,76045,95231,1540,4.944467354,5.8,479100,2265,884,1293,4422,1639,1444,4436,102.83,41.7,0.01,0.13,0.03,0.02746184285,0.07,0.08,0.01,0.11,0.15,0.24,0.06,0.05,0.07,0.01,0.92,0.79,0.21,0.03,0.22,0.09,0.34,0.15,0.02,0.04194654271,0.65,0.17,0.26,0.26,0.02,0.05,0.31,0.02,0.24,0.58,0.02,0.3,0.26,36081161700,MHI - Stable Exclusion,40.73,-73.72,0,0,0,NY,706697,0,0.273,0,40.7288095,-73.7175899,1753,1390
625,1013,40.4,65114,83140,2154,2.4,5.3,477800,2758,831,1441,6838,3333,3241,6845,103.24,34,0.07,0.04,0.03,0.02,0.1,0.21,0.04,0.05,0.07,0.27,0.09,0.04,0.04,0.05,0.9,0.65,0.42,0.01,0.3,0.12,0.33,0.1,0.09,0.04194654271,0.6,0.1,0.37,0.31,0.06,0.07,0.29,0.03,0.13,0.35,0.05,0.42,0.25,36081162100,MHI - Stable Exclusion,40.73,-73.73,0,0,0,NY,710238,0,0.274,0,40.7284264,-73.7297088,1753,1293
133,149,48.1,70078,75991,1130,5.7,3.3,367200,2057,768,1161,1786,615,588,1919,111.34,41.5,0.08,0.03,0.03,0.03,0.11,0.07,0.04,0.09,0.17,0.24,0.11,0.06,0.02,0.04,0.9,0.59,0.72,0.04,0.47,0.35,0.12,0.03,0.03,0.03,0.59,0.14,0.37,0.35,0.03,0.06,0.46,0.17,0.16,0.53,0.16,0.21,0.23,36085000300,MHI - Stable Exclusion,40.64,-74.06,0,0,0,NY,377461,2125639,0.146,0.821,40.6449365,-74.0642967,1479,1153
60,138,45.8,35893,69219,1298,13.1,3.5,401000,2784,720,727,2178,730,694,2204,87.41,53,0.09,0.09,0.06,0.04,0.15,0.03,0.01,0.11,0.17,0.18,0.12,0.02,0.04,0.14,0.9,0.6,0.55,0.05,0.23,0.4,0.16,0.09,0.06558448188,0.01,0.7,0.3,0.4,0.25,0.07,0.09,0.34,0.05,0.33,0.74,0.07,0.12,0.16,36085000600,LI - Not Losing Low-Income Households,40.62,-74.06,0,0,0,NY,666771,2045497,0.257,0.79,40.6180897,-74.058704,1681,520
877,1184,48.6,45951,55633,2388,2.5,3.9,261000,2235,1004,970,6223,1274,1084,6228,84.15,32.6,0.02,0.05724859622,0.02,0.01,0.12,0.03,0.03,0.09,0.13,0.27,0.11,0.1,0.1,0.2,0.91,0.48,0.79,0.01,0.38,0.45,0.24,0.05078651685,0.06558448188,0.07,0.54,0.1,0.51,0.45,0.05,0.14,0.28,0.12,0.12,0.29,0.49,0.04,0.28,36085000700,LI - At Risk of Gentrification,40.65,-74.08,1,1,1,NY,528115,638941,0.204,0.247,40.6478262,-74.0809582,1332,621
470,910,44.5,78014,80893,2104,10,5.1,403200,2125,721,1219,5662,1912,1739,5662,93.77,36.8,0.04,0.07,0.01,0.01,0.12,0.1,0.02,0.07,0.08,0.33,0.1,0.03,0.07,0.05,0.9,0.67,0.35,0.03,0.25,0.16,0.21,0.1,0.06,0.02,0.75,0.12,0.31,0.28,0.08,0.07,0.3,0.05,0.17,0.72,0.04,0.15,0.26,36085000800,MHI - Ongoing Exclusion,40.61,-74.07,0,0,0,NY,799851,0,0.309,0,40.6119514,-74.0677131,1550,727
152,387,51.2,47868,62529,881,23.1,4.2,362800,2319,754,1246,1724,443,409,1724,106.96,31.7,0.12,0.08,0.03,0.02746184285,0.13,0.07,0.03,0.08,0.11,0.22,0.15,0.06,0.04,0.16,0.89,0.55,0.71,0.1,0.27,0.45,0.11,0.01,0.05,0.06,0.77,0.08,0.5,0.4,0.06,0.1,0.35,0.12,0.1,0.24,0.57,0.1,0.25,36085000900,LI - Ongoing Displacement of Low-Income Households,40.64,-74.08,0,0,0,NY,231877,0,0.09,0,40.6422065,-74.0828564,1332,621
283,503,44.5,45337,58764,1447,16.6,4.5,313300,2230,622,1154,3045,856,753,3174,87.15,35.1,0.08,0.08,0.03900655572,0.01,0.12,0.02,0.01,0.05,0.12,0.27,0.14,0.07,0.11,0.14,0.91,0.45,0.61,0.01,0.41,0.46,0.15,0.02,0.02,0.06,0.7,0.06,0.48,0.44,0.07,0.06,0.33,0.13,0.1,0.23,0.61,0.02,0.24,36085001100,LI - Ongoing Displacement of Low-Income Households,40.64,-74.08,0,0,0,NY,325090,0,0.126,0,40.6387763,-74.0826654,1332,621
67,284,45.3,31250,72791,685,19.1,4.6,421600,2425,800,1153,1493,521,517,1500,106.33,40.5,0.09,0.1,0.03900655572,0.03,0.09,0.05,0.03,0.08,0.24,0.18,0.08,0.06,0.07,0.17,0.92,0.57,0.51,0.02,0.21,0.31,0.36,0.08,0.04,0.04194654271,0.67,0.12,0.46,0.4,0.08,0.08,0.45,0.1,0.16,0.49,0.22,0.08,0.33,36085001700,LI - Not Losing Low-Income Households,40.63,-74.08,0,0,0,NY,303567,0,0.117,0,40.6343907,-74.0812548,1381,1154
64,136,20,67000,79946,260,14.2,5.2,582861.201,2637.827457,835.5364007,1472,544,40,33,584,131.75,30.7,0.05,0.05724859622,0.06,0.02746184285,0.1,0.04,0.03797297297,0.04,0.11,0.14,0.15,0.1,0.28,0.09948643411,0.99,0.82,1,0.02,0.79,0.1,0.41,0.09,0.1,0.04194654271,0.623960199,0.01,0.4,0.25,0.02,0.09652703361,0.37,0.46,0.02,0.75,0.13,0.02,0.14,36085001800,MHI - Advanced Gentrification,40.6,-74.05,1,2,3,NY,909602,1451608,0.351,0.56,40.6014236,-74.0540856,1672,727
104,270,35.3,89792,114003,1114,4.944467354,4.6,357300,1920,673,1283,2565,883,817,2584,101.56,38.9,0.1,0.1,0.02,0.02,0.11,0.03,0.02,0.11,0.21,0.3,0.02,0.01,0.06,0.01,0.93,0.79,0.36,0.05,0.23,0.12,0.32,0.09,0.06,0.04194654271,0.65,0.12,0.34,0.33,0.04,0.05,0.36,0.06,0.15,0.78,0.06,0.09,0.14,36085002001,MHI - Ongoing Exclusion,40.61,-74.07,0,0,0,NY,513525,0,0.198,0,40.6068861,-74.070974,1550,548
218,384,40.3,90598,103509,1293,4.944467354,5.7,467200,2475,772,1550,3298,1214,1111,3395,91.05,45,0.06,0.08,0.06,0.02,0.05,0.05,0.02,0.13,0.09,0.29,0.16,0.03,0.02,0.14,0.93,0.76,0.22,0.05,0.08,0.18,0.29,0.13,0.02,0.02,0.59,0.19,0.31,0.34,0.05,0.04,0.49,0.05,0.25,0.82,0.02,0.12,0.05,36085002002,MHI - Ongoing Exclusion,40.6,-74.07,0,0,0,NY,771749,0,0.298,0,40.6014736,-74.070295,1418,548
217,672,40.9,52895,60143,1688,9.1,4.9,346900,2207,683,1288,4251,1327,1296,4285,107.21,31.1,0.04,0.11,0.02,0.02746184285,0.09,0.04,0.06,0.07,0.11,0.29,0.08,0.11,0.04,0.17,0.89,0.51,0.61,0.07,0.31,0.39,0.16,0.07,0.09,0.01,0.71,0.08,0.55,0.48,0.17,0.13,0.21,0.07,0.12,0.4,0.31,0.05,0.44,36085002100,LI - Not Losing Low-Income Households,40.63,-74.06,0,0,0,NY,864997,2017877,0.334,0.779,40.6316388,-74.0646099,1681,727
251,234,46.8,33750,49167,516,9.8,4.4,371800,2239,835.5364007,1381,1560,632,516,2186,110.6,36,0.09,0.02,0.06,0.02746184285,0.15,0.07,0.01,0.1,0.1218260452,0.33,0.22,0.04,0.01,0.11,0.88,0.29,0.78,0.07,0.52,0.54,0.11,0.05078651685,0.05,0.1,0.93,0.16,0.64,0.42,0.16,0.13,0.16,0.05,0.18,0.42,0.33,0.01,0.35,36085002700,LI - Not Losing Low-Income Households,40.62,-74.08,0,0,0,NY,250358,0,0.097,0,40.6235871,-74.0764274,1418,811
388,1200,38.2,27063,43429,2076,10.8,4.1,306400,2235,638,811,5237,1989,1842,5237,82.6,29.6,0.08,0.08,0.02,0.02746184285,0.16,0.03,0.01,0.05,0.05,0.35,0.16,0.06,0.04,0.2,0.81,0.25,0.75,0.03,0.38,0.58,0.16,0.03,0.06,0.04,0.85,0.08,0.49,0.53,0.16,0.15,0.12,0.04,0.11,0.29,0.48,0.04,0.44,36085002900,LI - At Risk of Gentrification,40.62,-74.08,1,1,1,NY,526903,0,0.203,0,40.6196581,-74.0827407,1418,827
306,474,50.3,87647,104483,1554,4.1,4.9,443000,2396,925,1263,3690,1182,1137,3708,90.94,37.3,0.09,0.12,0.05,0.02,0.13,0.05,0.04,0.14,0.09,0.21,0.05,0.03,0.07,0.07,0.91,0.71,0.42,0.02,0.36,0.29,0.29,0.08,0.05,0.02,0.77,0.11,0.35,0.35,0.03,0.05,0.43,0.09,0.15,0.61,0.24,0.09,0.17,36085003300,MHI - Stable Exclusion,40.63,-74.09,0,0,0,NY,854275,0,0.33,0,40.6256016,-74.0866107,1381,811
157,409,41.8,65625,84660,927,15.9,5.2,362100,2264,704,1418,2589,1048,953,2589,106.46,37.2,0.05,0.07,0.02,0.01,0.1,0.11,0.02,0.1,0.09,0.27,0.13,0.03,0.06,0.02,0.86,0.63,0.32,0.02,0.22,0.16,0.35,0.12,0.05,0.04194654271,0.8,0.11,0.44,0.28,0.09,0.08,0.22,0.07,0.14,0.6,0.07,0.17,0.34,36085003600,MHI - Stable Exclusion,40.61,-74.08,0,0,0,NY,409183,0,0.158,0,40.6110687,-74.0759,1526,811
255,179,46.6,67727,93916,1029,8.4,3.4,461700,3194,1064,1333,2129,658,592,2390,93.99,35.9,0.13,0.06,0.04,0.01,0.08,0.04,0.06,0.11,0.09,0.32,0.07,0.02,0.1,0.07,0.95,0.77,0.76,0.07,0.4,0.18,0.2,0.04,0.06,0.01,0.62,0.12,0.49,0.41,0.05,0.04,0.45,0.16,0.17,0.64,0.17,0.1,0.2,36085003900,MHI - Ongoing Exclusion,40.62,-74.09,0,0,0,NY,583062,0,0.225,0,40.6211881,-74.0933501,1381,811
1061,2204,47.8,40971,55898,4596,5.5,4.3,347100,2027,734,827,12319,4476,4034,12349,83.87,31.4,0.09,0.04,0.02,0.03,0.11,0.06,0.01,0.08,0.08,0.33,0.13,0.05,0.05,0.26,0.89,0.51,0.58,0.03,0.28,0.42,0.15,0.08,0.06,0.01,0.77,0.1,0.47,0.47,0.07,0.13,0.25,0.05,0.14,0.31,0.44,0.1,0.36,36085004000,LI - At Risk of Gentrification,40.61,-74.08,1,1,1,NY,1192752,0,0.461,0,40.6135614,-74.0808954,1418,811
117,292,39.2,73362,90570,1118,4.944467354,4.7,435200,2072,876,1357,2353,858,814,3189,87.81,34.1,0.03,0.04,0.03900655572,0.02746184285,0.09,0.05,0.03797297297,0.08,0.12,0.4,0.14,0.03,0.06,0.05,0.92,0.75,0.34,0.01,0.32,0.18,0.25,0.1,0.04,0.04194654271,0.66,0.17,0.63,0.53,0.09,0.02,0.41,0.15,0.21,0.83,0.06,0.08,0.12,36085004700,MHI - Ongoing Exclusion,40.61,-74.09,0,0,0,NY,895660,0,0.346,0,40.6141999,-74.0947353,1526,811
184,674,43.4,69327,88627,1538,15,5.2,441200,2457,777,1526,3846,1294,1132,3863,91.14,41.1,0.09,0.02,0.02,0.02,0.09,0.1,0.05,0.09,0.13,0.32,0.05,0.06,0.06,0.07,0.91,0.63,0.31,0.06,0.27,0.19,0.29,0.13,0.04,0.04194654271,0.67,0.16,0.39,0.36,0.05,0.04,0.38,0.05,0.21,0.68,0.11,0.16,0.15,36085005000,MHI - Stable Exclusion,40.6,-74.09,0,0,0,NY,792524,42337,0.306,0.016,40.6049549,-74.08666,1433,548
302,376,49.9,83603,109675,1226,5.5,5.2,489800,2392,867,1289,3011,617,571,3011,82.82,40,0.05,0.06,0.02,0.02,0.03,0.03,0.02,0.14,0.09,0.37,0.1,0.04,0.09,0.13,0.89,0.77,0.44,0.06,0.3,0.15,0.3,0.22,0.04,0.04194654271,0.72,0.14,0.31,0.35,0.04,0.02,0.54,0.05,0.17,0.82,0.08,0.06,0.17,36085005900,MHI - Stable Exclusion,40.63,-74.1,0,0,0,NY,1387002,6193,0.536,0.002,40.6284943,-74.0985148,1333,1151
303,485,36.9,53956,83354,1239,4.944467354,5.3,419300,2802,827,548,3357,654,576,3381,69.81,34.5,0.12,0.06,0.03900655572,0.01,0.08,0.09,0.05,0.16,0.1,0.26,0.06,0.04,0.09,0.08,0.92,0.63,0.44,0.02,0.11,0.34,0.31,0.09,0.04,0.03,0.57,0.12,0.39,0.5,0.02,0.1,0.35,0.03,0.15,0.73,0.14,0.1,0.22,36085006400,LI - Ongoing Displacement of Low-Income Households,40.6,-74.08,0,0,0,NY,709804,0,0.274,0,40.5972427,-74.0785031,1550,1156
207,301,39.6,98438,112658,1196,21.6,5.8,551300,2642,804,1210,2503,315,275,2551,117.66,41.1,0.08,0.09,0.03900655572,0.02,0.04,0.05,0.04,0.1,0.12,0.36,0.08,0.04,0.05,0.05,0.94,0.84,0.25,0.04,0.16,0.15,0.33,0.16,0.03,0.01,0.67,0.12,0.42,0.28,0.02,0.03,0.42,0.05,0.14,0.84,0.06,0.04,0.07,36085006700,MHI - Ongoing Exclusion,40.64,-74.1,0,0,0,NY,950752,1786,0.367,0.001,40.6355428,-74.1012037,1332,621
638,1242,40.2,71406,81260,2860,5.6,5.5,424600,2433,782,1454,8363,3081,2947,8942,89.57,39,0.04,0.08,0.06,0.02746184285,0.13,0.07,0.02,0.13,0.08,0.28,0.09,0.05,0.03,0.07,0.92,0.63,0.26,0.02,0.18,0.09,0.25,0.2,0.07,0.04194654271,0.67,0.12,0.37,0.33,0.05,0.08,0.23,0.05,0.15,0.79,0.07,0.07,0.18,36085007000,MHI - Stable Exclusion,40.59,-74.08,0,0,0,NY,2640265,866081,1.019,0.334,40.5864329,-74.0802094,1550,548
233,765,46,77292,77617,1729,8,4.7,398300,2321,794,958,4593,2460,2288,4673,87.44,41.1,0.06,0.09,0.05,0.02,0.11,0.04,0.05,0.13,0.12,0.23,0.09,0.04,0.04,0.1,0.93,0.67,0.46,0.08,0.27,0.18,0.31,0.08,0.07,0.02,0.77,0.12,0.32,0.27,0.11,0.06,0.33,0.02,0.17,0.74,0.01,0.15,0.17,36085007400,MHI - Ongoing Exclusion,40.59,-74.06,0,0,0,NY,541258,442359,0.209,0.171,40.5915459,-74.0629365,1550,548
341,761,43.1,46006,62474,1265,6.1,4.9,401300,2781,733,1332,3743,1341,1215,4313,137.76,37.5,0.06,0.15,0.02,0.01,0.09,0.13,0.01,0.04,0.05,0.28,0.11,0.07,0.05,0.11,0.88,0.5,0.6,0.02,0.24,0.42,0.25,0.05,0.12,0.04194654271,0.76,0.13,0.47,0.32,0.17,0.09,0.16,0.05,0.16,0.64,0.15,0.04,0.5,36085007500,LI - Not Losing Low-Income Households,40.63,-74.09,0,0,0,NY,480638,0,0.186,0,40.6335987,-74.0909457,1289,621
64,379,40.4,44615,51997,572,10.7,4.5,300000,2049,563,1250,1487,391,302,1497,88.3,28.7,0.08,0.03,0.05,0.01,0.13,0.05,0.02,0.09,0.15,0.36,0.04,0.05686018384,0.07,0.24,0.94,0.44,0.55,0.09,0.32,0.42,0.13,0.04,0.11,0.04194654271,0.87,0.05,0.58,0.51,0.07,0.13,0.2,0.03,0.09,0.36,0.44,0.04,0.37,36085007700,LI - At Risk of Gentrification,40.64,-74.09,1,1,1,NY,248536,0,0.096,0,40.6378663,-74.0902676,1332,621
382,557,47.8,40769,66852,1897,6.5,5.1,392200,2288,691,621,4064,1013,803,4373,103.4,43.7,0.07,0.04,0.04,0.02,0.05,0.02,0.01,0.08,0.15,0.3,0.14,0.07,0.05,0.18,0.95,0.58,0.52,0.01,0.3,0.39,0.14,0.06,0.05,0.02,0.81,0.22,0.43,0.31,0.04,0.11,0.3,0.11,0.28,0.38,0.44,0.06,0.2,36085008100,LI - At Risk of Gentrification,40.64,-74.09,1,1,1,NY,820533,208775,0.317,0.081,40.6440923,-74.0941085,1332,970
117,293,40.9,61598,80286,1601,4.944467354,5.3,533000,2510,916,1156,3508,841,818,3844,82.53,49,0.03,0.04,0.04,0.02,0.05,0.06,0.03,0.17,0.15,0.28,0.06,0.04,0.08,0.09,0.95,0.76,0.34,0.02,0.24,0.2,0.29,0.1,0.01,0.01,0.59,0.28,0.38,0.29,0.04,0.06,0.31,0.03,0.31,0.82,0.03,0.09,0.17,36085009601,MHI - Ongoing Exclusion,40.6,-74.09,0,0,0,NY,776279,0,0.3,0,40.5969283,-74.0886024,1526,548
