,Label (Grouping)_x,Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),tract_numb,Label (Grouping)_y,Unemployment Rate,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),tract,LOGRECNO,GEOID,geoid,typo,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             ,label 
1865,"Census Tract 729, Queens County, New York!!Estimate",82,177,48.3,"95,500","97,188",509,0,10.5,5.9,"692,900","2,327",971,"1,495","1,245",628,594,(X),"1,254",80.17241379,45.7,"Census Tract 729, Queens County, New York","Census Tract 729, Queens County, New York!!Percent",8.00%,0.00%,5.90%,0.00%,3.50%,3.50%,5.20%,5.90%,10.50%,17.50%,37.30%,3.50%,4.40%,2.80%,5.10%,94.40%,77.40%,0.00%,0.00%,22.00%,2.10%,17.50%,20.30%,29.00%,3.70%,3.70%,1.20%,61.10%,19.90%,23.60%,26.00%,2.20%,2.60%,51.80%,4.60%,22.00%,54.70%,5.10%,0.00%,35.60%,8.90%,729,7003,14000US36081072900,36081072900,MHI - Ongoing Exclusion,NY,193731,0,0.075,0,40.7128119,-73.8521815,0
1866,"Census Tract 731, Queens County, New York!!Estimate",162,221,40,"109,615","119,748",586,0,0,6.2,"757,700","2,985",857,"1,900","1,642",593,561,(X),"1,642",71.93717277,41.4,"Census Tract 731, Queens County, New York","Census Tract 731, Queens County, New York!!Percent",5.70%,0.00%,0.70%,3.20%,4.20%,9.50%,4.80%,6.60%,10.70%,16.90%,23.20%,3.20%,5.90%,11.10%,6.70%,94.70%,78.90%,0.00%,0.90%,24.50%,4.40%,19.00%,24.50%,26.10%,3.70%,0.00%,0.00%,48.70%,19.10%,27.00%,27.70%,2.70%,0.50%,50.90%,8.30%,22.20%,67.30%,1.20%,0.00%,28.70%,4.90%,731,7004,14000US36081073100,36081073100,MHI - Stable Exclusion,NY,189843,0,0.073,0,40.7109534,-73.8463317,0
1867,"Census Tract 737, Queens County, New York!!Estimate",108,92,39.2,"62,240","112,162","1,180",0,0,3.3,"584,600","2,750",868,"1,640","1,715",619,567,(X),"1,722",76.79671458,38,"Census Tract 737, Queens County, New York","Census Tract 737, Queens County, New York!!Percent",1.40%,0.00%,1.80%,1.70%,0.60%,6.60%,0.80%,5.50%,12.20%,26.30%,32.60%,7.60%,0.40%,4.00%,6.20%,94.10%,85.00%,0.00%,0.00%,60.60%,5.20%,42.20%,58.60%,6.60%,0.00%,0.00%,2.90%,45.10%,16.90%,32.40%,41.80%,5.10%,0.60%,70.00%,21.90%,21.60%,69.20%,1.20%,0.00%,20.70%,9.30%,737,7005,14000US36081073700,36081073700,MHI - Stable Exclusion,NY,210902,0,0.081,0,40.7184415,-73.8432447,0
1868,"Census Tract 739, Queens County, New York!!Estimate",434,647,42.5,"76,550","101,555","2,839",0,0,3.7,"387,500","1,609",332,"1,724","5,461","1,976","1,838",(X),"5,626",71.05503192,42.2,"Census Tract 739, Queens County, New York","Census Tract 739, Queens County, New York!!Percent",4.60%,0.00%,1.20%,3.10%,2.50%,3.90%,4.90%,6.20%,17.60%,22.10%,19.60%,8.00%,4.30%,6.50%,6.00%,93.10%,79.50%,0.00%,0.00%,55.10%,5.20%,26.90%,48.00%,3.90%,0.50%,1.40%,1.00%,57.30%,19.10%,37.20%,30.60%,4.00%,1.10%,64.30%,8.20%,21.30%,64.20%,7.10%,0.00%,21.60%,14.20%,739,7006,14000US36081073900,36081073900,MHI - Stable Exclusion,NY,224293,0,0.087,0,40.7236929,-73.8442715,0
1869,"Census Tract 741, Queens County, New York!!Estimate",259,220,41.4,"69,824","86,347","1,670",0,0,3.7,"292,900","1,510",397,"1,494","3,033","1,366","1,305",(X),"3,033",93.43112245,44.4,"Census Tract 741, Queens County, New York","Census Tract 741, Queens County, New York!!Percent",5.10%,0.00%,2.30%,5.40%,2.10%,4.70%,1.50%,5.10%,16.90%,20.10%,26.30%,3.60%,5.50%,6.60%,7.10%,95.10%,78.10%,0.00%,0.00%,36.60%,5.40%,15.10%,37.90%,6.70%,4.70%,2.00%,4.50%,62.40%,20.00%,28.90%,33.20%,2.30%,3.30%,64.10%,9.10%,22.30%,70.00%,2.80%,2.20%,20.60%,13.60%,741,7007,14000US36081074100,36081074100,MHI - Stable Exclusion,NY,172198,0,0.066,0,40.7282813,-73.8470444,0
1870,"Census Tract 743, Queens County, New York!!Estimate",301,527,37.8,"57,587","72,952","1,997",0,2.5,3.7,"362,700","1,887",810,"1,219","4,483","2,951","2,800",(X),"4,483",91.0912191,41.3,"Census Tract 743, Queens County, New York","Census Tract 743, Queens County, New York!!Percent",7.30%,0.00%,2.20%,8.80%,0.90%,5.90%,4.70%,0.50%,11.50%,11.90%,32.70%,3.60%,11.00%,6.30%,7.50%,87.30%,55.60%,0.00%,1.30%,47.50%,4.50%,25.30%,39.70%,12.90%,2.20%,8.00%,1.50%,54.20%,22.20%,32.50%,27.90%,8.70%,4.90%,42.40%,2.90%,23.70%,65.60%,1.10%,0.70%,24.70%,16.20%,743,7008,14000US36081074300,36081074300,MHI - Ongoing Exclusion,NY,193477,0,0.075,0,40.7322992,-73.8492461,0
1871,"Census Tract 745, Queens County, New York!!Estimate",378,710,42.5,"35,967","57,852","1,617",0,2,3.4,"483,000","1,889",568,"1,168","4,120","2,299","2,243",(X),"4,120",89.94928538,35.4,"Census Tract 745, Queens County, New York","Census Tract 745, Queens County, New York!!Percent",8.70%,0.00%,1.80%,2.80%,2.60%,11.00%,4.30%,1.10%,5.90%,12.00%,35.60%,2.40%,14.50%,5.90%,16.20%,89.90%,53.70%,0.00%,0.60%,82.10%,2.90%,28.20%,47.00%,11.90%,1.70%,8.00%,10.10%,53.90%,16.20%,37.20%,25.90%,4.20%,5.70%,41.00%,6.20%,17.60%,64.00%,7.10%,0.00%,20.30%,14.80%,745,7009,14000US36081074500,36081074500,LI - Ongoing Displacement of Low-Income Households,NY,174486,0,0.067,0,40.7361049,-73.8508368,0
1872,"Census Tract 747, Queens County, New York!!Estimate",208,353,41.9,"64,250","80,561","1,426",0,0,3.7,"271,600","1,796",529,"1,263","3,410","2,383","2,337",(X),"3,418",89.99444136,42.4,"Census Tract 747, Queens County, New York","Census Tract 747, Queens County, New York!!Percent",5.50%,0.00%,8.80%,2.80%,2.90%,10.30%,3.00%,1.20%,17.50%,11.00%,27.60%,4.60%,1.80%,8.40%,5.50%,91.40%,64.50%,0.00%,2.00%,45.30%,6.40%,20.30%,36.40%,11.00%,0.50%,3.30%,3.20%,58.40%,14.30%,35.00%,32.90%,6.30%,5.50%,44.60%,2.30%,17.30%,43.20%,5.30%,1.40%,43.50%,13.50%,747,7010,14000US36081074700,36081074700,MHI - Stable Exclusion,NY,295509,0,0.114,0,40.7326161,-73.8452064,0
1873,"Census Tract 749, Queens County, New York!!Estimate",106,248,35.5,"151,964","239,962",585,1.6,0,7.7,"1,350,800","4,000+","1,426",-,"1,492",415,397,(X),"1,492",103.2697548,45.9,"Census Tract 749, Queens County, New York","Census Tract 749, Queens County, New York!!Percent",5.40%,0.00%,3.30%,1.00%,1.60%,5.90%,0.00%,5.10%,17.30%,11.30%,39.50%,7.00%,3.30%,4.90%,0.60%,98.70%,85.70%,0.00%,0.00%,18.90%,8.30%,18.20%,13.50%,33.60%,3.70%,1.50%,0.00%,50.10%,22.40%,29.80%,23.60%,0.60%,1.90%,82.60%,8.20%,25.10%,76.40%,0.00%,0.00%,17.80%,4.00%,749,7011,14000US36081074900,36081074900,VHI - Super Gentrification or Exclusion,NY,359060,0,0.139,0,40.7132499,-73.8400754,0
1874,"Census Tract 757.01, Queens County, New York!!Estimate",480,405,40.6,"76,774","90,279","2,787",4.3,0,3.5,"285,100","1,563",298,"1,707","5,107","2,174","2,140",(X),"5,107",71.31834955,41.6,"Census Tract 757.01, Queens County, New York","Census Tract 757.01, Queens County, New York!!Percent",4.40%,0.00%,4.90%,3.70%,2.60%,9.30%,2.20%,5.00%,10.50%,17.80%,28.20%,9.60%,2.50%,3.60%,9.50%,96.50%,85.10%,0.00%,0.00%,45.40%,1.50%,39.70%,43.40%,3.40%,0.80%,0.70%,2.00%,50.50%,19.80%,28.00%,25.80%,0.90%,0.00%,76.10%,9.80%,21.10%,64.60%,1.40%,0.00%,27.70%,17.40%,757.01,7012,14000US36081075701,36081075701,MHI - Stable Exclusion,NY,196187,0,0.076,0,40.7182075,-73.8347847,0
1875,"Census Tract 757.02, Queens County, New York!!Estimate",251,321,44.5,"80,135","115,709","2,361",9.9,0,3.8,"382,600","1,826",443,"1,435","3,839","1,587","1,511",(X),"4,033",79.48375612,45.8,"Census Tract 757.02, Queens County, New York","Census Tract 757.02, Queens County, New York!!Percent",3.70%,0.00%,2.20%,3.80%,3.70%,4.80%,1.30%,6.40%,24.40%,19.30%,14.90%,5.90%,4.80%,8.60%,7.00%,98.20%,83.40%,0.00%,1.90%,37.90%,4.90%,23.00%,45.60%,4.20%,2.10%,2.90%,0.70%,44.80%,23.70%,28.20%,37.30%,4.50%,2.70%,61.90%,4.20%,27.90%,60.20%,3.30%,0.20%,33.70%,7.10%,757.02,7013,14000US36081075702,36081075702,MHI - Stable Exclusion,NY,354166,0,0.137,0,40.7243192,-73.840195,0
1876,"Census Tract 769.01, Queens County, New York!!Estimate",588,280,47.3,"77,135","118,551","2,330",0,8.5,3.4,"297,800","1,644",414,"1,678","4,182","1,521","1,490",(X),"4,182",74.17742607,38.1,"Census Tract 769.01, Queens County, New York","Census Tract 769.01, Queens County, New York!!Percent",4.40%,0.00%,1.40%,4.10%,7.00%,8.60%,1.50%,7.50%,11.70%,21.00%,23.80%,4.30%,3.00%,6.20%,2.50%,97.40%,83.00%,0.00%,0.00%,49.40%,5.10%,33.50%,48.60%,7.40%,2.00%,3.30%,3.20%,65.60%,12.60%,28.70%,27.00%,0.00%,1.30%,74.40%,8.90%,15.60%,56.30%,4.70%,0.00%,32.40%,9.60%,769.01,7014,14000US36081076901,36081076901,MHI - Stable Exclusion,NY,180732,0,0.07,0,40.716453,-73.8375647,0
1877,"Census Tract 769.02, Queens County, New York!!Estimate",176,99,47.9,"81,131","109,069",709,0,3.9,3.6,"444,400","2,214","1,146","1,735","1,433",609,603,(X),"1,433",97.9281768,36.1,"Census Tract 769.02, Queens County, New York","Census Tract 769.02, Queens County, New York!!Percent",3.10%,0.00%,2.60%,2.90%,1.40%,11.20%,1.70%,3.30%,7.90%,18.00%,29.20%,7.60%,6.00%,8.30%,5.70%,95.70%,80.30%,0.00%,0.00%,78.20%,7.70%,45.20%,61.90%,8.50%,0.00%,0.90%,3.30%,47.20%,15.00%,21.40%,29.20%,1.50%,5.00%,62.10%,13.50%,15.00%,62.50%,1.90%,0.00%,24.60%,14.70%,769.02,7015,14000US36081076902,36081076902,MHI - Stable Exclusion,NY,101240,0,0.039,0,40.7150342,-73.8340325,0
1878,"Census Tract 773, Queens County, New York!!Estimate",128,175,41.6,"72,775","107,191","1,206",3.2,5.6,3.7,"251,400","1,591",-,"1,270","2,113","1,062",999,(X),"2,113",83.57949609,41.6,"Census Tract 773, Queens County, New York","Census Tract 773, Queens County, New York!!Percent",4.00%,0.90%,5.20%,0.60%,2.80%,6.50%,3.20%,6.40%,23.60%,18.70%,19.80%,5.70%,2.50%,4.10%,2.70%,92.10%,71.00%,0.00%,0.00%,45.10%,2.80%,32.10%,42.70%,14.00%,3.40%,2.00%,3.50%,60.40%,19.00%,37.50%,24.50%,1.70%,5.10%,63.90%,8.50%,20.80%,62.10%,5.30%,0.00%,19.30%,25.90%,773,7016,14000US36081077300,36081077300,MHI - Stable Exclusion,NY,279070,0,0.108,0,40.7109133,-73.8352803,0
1879,"Census Tract 775, Queens County, New York!!Estimate",101,156,35.7,"64,977","101,325","1,067",0,6,3.7,-,"2,934","1,250","1,389","2,073",987,880,(X),"2,073",114.1528926,45.1,"Census Tract 775, Queens County, New York","Census Tract 775, Queens County, New York!!Percent",4.30%,0.00%,2.20%,0.90%,2.20%,4.80%,7.50%,5.70%,10.20%,14.90%,32.00%,10.20%,6.40%,3.30%,8.60%,92.00%,69.60%,0.00%,0.00%,70.30%,10.60%,25.70%,50.40%,17.70%,0.00%,3.20%,0.00%,61.90%,17.20%,41.70%,36.50%,5.00%,2.50%,48.10%,10.10%,20.80%,80.30%,3.50%,0.00%,7.50%,15.00%,775,7017,14000US36081077500,36081077500,MHI - Ongoing Exclusion,NY,229489,0,0.089,0,40.7091018,-73.8323371,0
1880,"Census Tract 779.02, Queens County, New York!!Estimate",743,"1,111",36.6,"81,616","94,857","1,748",4.1,0,5.1,"625,200","2,526",998,"1,553","5,322","1,410","1,360",(X),"5,322",99.92486852,29.7,"Census Tract 779.02, Queens County, New York","Census Tract 779.02, Queens County, New York!!Percent",6.90%,0.00%,5.30%,2.30%,4.50%,9.90%,2.70%,1.70%,9.40%,16.10%,38.00%,2.50%,3.80%,3.60%,6.90%,97.30%,79.30%,0.00%,0.00%,36.90%,0.60%,29.40%,17.20%,26.30%,2.40%,7.10%,2.10%,64.50%,14.00%,28.40%,27.30%,5.40%,4.10%,58.70%,5.90%,16.30%,86.70%,3.00%,0.00%,8.60%,3.10%,779.02,7018,14000US36081077902,36081077902,MHI - Ongoing Exclusion,NY,559114,0,0.216,0,40.7252734,-73.8248724,0
1881,"Census Tract 779.03, Queens County, New York!!Estimate",263,309,45.7,"73,790","96,287","1,219",0,0,3.8,"239,400","1,469",674,"1,283","3,085","1,643","1,583",(X),"3,090",83.05687204,43.5,"Census Tract 779.03, Queens County, New York","Census Tract 779.03, Queens County, New York!!Percent",6.80%,0.00%,4.80%,2.50%,4.20%,8.70%,5.40%,3.30%,14.40%,11.70%,29.60%,5.50%,7.30%,2.60%,4.80%,93.60%,63.00%,0.00%,0.00%,44.70%,2.70%,24.20%,15.00%,19.90%,8.50%,8.40%,0.70%,58.60%,15.60%,24.30%,25.00%,5.20%,1.80%,45.40%,1.80%,18.90%,68.50%,3.70%,0.00%,18.10%,19.90%,779.03,7019,14000US36081077903,36081077903,MHI - Stable Exclusion,NY,263016,0,0.102,0,40.7192243,-73.8216022,0
1882,"Census Tract 779.04, Queens County, New York!!Estimate",728,612,39.3,"60,521","72,437","2,261",6.7,0,4.5,"416,000","2,512",437,"1,697","5,847","3,172","3,038",(X),"5,931",95.93657086,35,"Census Tract 779.04, Queens County, New York","Census Tract 779.04, Queens County, New York!!Percent",4.60%,1.00%,4.40%,1.60%,2.60%,2.60%,3.80%,1.80%,8.70%,12.60%,36.50%,15.80%,6.60%,1.90%,2.30%,90.30%,61.60%,0.00%,0.00%,52.10%,2.20%,34.20%,27.70%,14.90%,3.20%,5.60%,1.20%,55.60%,12.00%,29.40%,22.30%,7.40%,4.10%,38.00%,3.50%,16.60%,62.50%,3.10%,0.40%,27.50%,9.10%,779.04,7020,14000US36081077904,36081077904,MHI - Stable Exclusion,NY,385726,0,0.149,0,40.7209651,-73.8141647,0
1883,"Census Tract 779.05, Queens County, New York!!Estimate",181,204,48.2,"66,458","91,016","1,226",0,0,4.2,"215,500","1,843",804,"1,350","2,616","1,302","1,249",(X),"2,676",96.33162142,42.3,"Census Tract 779.05, Queens County, New York","Census Tract 779.05, Queens County, New York!!Percent",6.30%,0.00%,3.20%,3.30%,0.60%,5.10%,3.20%,5.90%,14.60%,15.30%,23.60%,14.80%,6.90%,3.70%,8.90%,94.10%,69.00%,0.00%,0.00%,27.10%,2.40%,17.80%,26.30%,21.30%,2.80%,3.40%,2.20%,54.80%,20.70%,43.20%,33.10%,3.80%,3.40%,55.80%,9.50%,24.90%,50.00%,10.80%,0.00%,24.40%,24.00%,779.05,7021,14000US36081077905,36081077905,MHI - Stable Exclusion,NY,275241,0,0.106,0,40.7173272,-73.8129626,0
1884,"Census Tract 779.06, Queens County, New York!!Estimate",380,435,43.5,"61,523","73,304","1,443",0,4.1,4.1,"211,500","1,217",323,"1,660","3,682","1,353","1,212",(X),"3,703",91.86528497,33.2,"Census Tract 779.06, Queens County, New York","Census Tract 779.06, Queens County, New York!!Percent",0.50%,0.00%,5.30%,5.50%,2.90%,7.80%,4.70%,1.80%,6.70%,10.60%,35.50%,12.70%,3.10%,3.20%,5.70%,90.40%,64.90%,0.00%,0.60%,43.40%,3.20%,33.50%,30.30%,12.20%,2.90%,5.40%,2.20%,42.20%,15.10%,42.30%,24.60%,7.10%,6.30%,42.20%,9.00%,18.00%,61.70%,4.90%,0.00%,21.80%,16.20%,779.06,7022,14000US36081077906,36081077906,MHI - Stable Exclusion,NY,289075,0,0.112,0,40.7293975,-73.818762,0
1885,"Census Tract 779.07, Queens County, New York!!Estimate",552,289,34.6,"44,036","80,712","1,024",0,6.5,4.3,"627,600","1,230","1,078","1,427","2,889","1,066",930,(X),"3,075",94.00630915,26.9,"Census Tract 779.07, Queens County, New York","Census Tract 779.07, Queens County, New York!!Percent",3.70%,0.00%,0.00%,4.10%,1.90%,5.70%,4.20%,1.50%,5.70%,18.90%,44.20%,3.60%,9.10%,0.90%,4.50%,94.60%,69.80%,0.00%,0.00%,75.30%,6.30%,28.50%,32.90%,19.30%,0.60%,10.30%,0.80%,42.90%,11.60%,41.50%,19.90%,7.70%,2.30%,50.10%,10.80%,14.30%,84.30%,2.90%,0.00%,7.80%,14.90%,779.07,7023,14000US36081077907,36081077907,LI - Not Losing Low-Income Households,NY,216834,0,0.084,0,40.7249623,-73.8184802,0
1886,"Census Tract 779.08, Queens County, New York!!Estimate",297,652,40.8,"50,703","58,716","1,451",0,5.7,3.9,"661,000","3,104",-,"1,421","3,948","1,952","1,782",(X),"4,154",123.5737352,30.1,"Census Tract 779.08, Queens County, New York","Census Tract 779.08, Queens County, New York!!Percent",10.70%,0.00%,5.60%,7.60%,2.30%,5.20%,6.60%,1.80%,17.00%,8.20%,27.10%,8.20%,3.20%,7.10%,2.80%,87.50%,63.00%,0.00%,0.00%,92.70%,1.00%,35.30%,33.20%,17.80%,2.50%,14.90%,3.30%,77.60%,7.90%,54.40%,33.30%,7.40%,6.60%,28.60%,10.80%,10.20%,40.00%,22.40%,0.20%,21.90%,13.50%,779.08,7024,14000US36081077908,36081077908,LI - Not Losing Low-Income Households,NY,200497,0,0.077,0,40.7256168,-73.8136929,0
1887,"Census Tract 788, Queens County, New York!!Estimate",79,255,46,"65,500","80,270",563,0,0,5.3,"375,900","2,206",650,"1,834","1,751",922,908,(X),"1,751",118.3291771,42.1,"Census Tract 788, Queens County, New York","Census Tract 788, Queens County, New York!!Percent",17.60%,0.00%,4.00%,4.00%,0.70%,11.30%,10.10%,1.30%,10.80%,18.10%,21.60%,8.50%,7.40%,1.90%,1.30%,87.20%,59.80%,0.00%,0.00%,27.10%,5.50%,22.20%,12.20%,31.80%,6.00%,1.50%,3.80%,87.10%,11.10%,57.10%,26.70%,6.60%,6.10%,15.60%,7.10%,14.80%,8.60%,72.50%,0.00%,8.00%,11.10%,788,7025,14000US36081078800,36081078800,MHI - Stable Exclusion,NY,192534,0,0.074,0,40.670331,-73.7903645,0
1888,"Census Tract 790, Queens County, New York!!Estimate",216,395,53.8,"54,476","69,570",832,0,9.6,4.8,"406,300","2,825",791,"1,331","2,786","1,593","1,521",(X),"2,799",98.79261364,34.6,"Census Tract 790, Queens County, New York","Census Tract 790, Queens County, New York!!Percent",7.90%,0.00%,10.20%,2.80%,0.80%,15.10%,9.80%,2.70%,6.80%,9.90%,26.90%,8.60%,2.70%,3.80%,5.20%,84.20%,46.90%,0.00%,0.00%,49.90%,3.40%,33.60%,36.70%,20.60%,3.50%,5.30%,1.90%,77.50%,6.80%,50.90%,41.80%,12.60%,12.70%,20.50%,5.40%,9.50%,3.80%,62.70%,0.90%,11.60%,14.00%,790,7026,14000US36081079000,36081079000,LI - Ongoing Gentrification,NY,260592,0,0.101,0,40.6724831,-73.7966161,1
1889,"Census Tract 792, Queens County, New York!!Estimate",139,569,55.7,"62,442","79,920",768,0,3.9,5.2,"416,100","2,408",660,"1,476","2,506",980,911,(X),"2,526",92.82442748,31.9,"Census Tract 792, Queens County, New York","Census Tract 792, Queens County, New York!!Percent",17.00%,0.00%,13.20%,2.90%,0.80%,5.60%,14.80%,3.10%,8.90%,4.30%,32.70%,4.90%,4.10%,4.50%,5.60%,90.30%,47.50%,0.00%,0.00%,38.60%,0.00%,20.70%,15.70%,21.70%,9.90%,13.10%,0.00%,64.90%,10.50%,43.40%,42.60%,6.70%,11.30%,23.00%,10.70%,12.70%,4.40%,63.40%,0.00%,8.60%,11.40%,792,7027,14000US36081079200,36081079200,MHI - Advanced Gentrification,NY,363822,0,0.14,0,40.6689234,-73.7969557,1
1890,"Census Tract 793, Queens County, New York!!Estimate",0,0,-,-,-,0,-,-,-,-,-,-,-,0,0,0,(X),0,#DIV/0!,-,"Census Tract 793, Queens County, New York","Census Tract 793, Queens County, New York!!Percent",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,793,7028,14000US36081079300,36081079300,Missing Data,NY,870160,0,0.336,0,40.7363897,-73.8314913,0
1891,"Census Tract 797.01, Queens County, New York!!Estimate",471,850,48.3,"36,663","58,502","2,965",0,0.7,3.4,"325,900","1,775",445,"1,310","6,806","5,079","4,978",(X),"6,811",76.35939927,43,"Census Tract 797.01, Queens County, New York","Census Tract 797.01, Queens County, New York!!Percent",4.20%,0.30%,2.20%,7.50%,7.90%,6.60%,6.50%,1.20%,15.30%,11.30%,17.80%,9.40%,6.30%,7.60%,18.60%,91.10%,52.00%,0.00%,0.50%,72.30%,7.40%,32.90%,60.50%,3.60%,1.40%,8.20%,4.30%,26.90%,23.10%,22.20%,22.60%,11.20%,8.50%,38.40%,0.70%,26.50%,7.90%,4.50%,0.00%,78.80%,7.90%,797.01,7029,14000US36081079701,36081079701,LI - Not Losing Low-Income Households,NY,111310,0,0.043,0,40.7533454,-73.8247561,0
1892,"Census Tract 797.02, Queens County, New York!!Estimate",274,465,38.3,"36,044","47,999","1,704",0,2,3.5,"483,300","1,820",504,"1,374","4,947","3,815","3,783",(X),"4,947",102.2485691,40,"Census Tract 797.02, Queens County, New York","Census Tract 797.02, Queens County, New York!!Percent",10.30%,0.00%,8.30%,6.10%,2.30%,15.30%,6.60%,2.00%,9.30%,5.10%,10.80%,20.10%,14.10%,0.00%,12.80%,75.80%,34.20%,0.00%,1.40%,77.90%,2.30%,31.00%,57.30%,6.20%,0.90%,17.00%,6.30%,32.60%,14.20%,32.00%,24.50%,12.10%,15.60%,18.40%,1.80%,18.10%,10.50%,0.40%,0.00%,80.60%,10.40%,797.02,7030,14000US36081079702,36081079702,LI - Not Losing Low-Income Households,NY,285448,0,0.11,0,40.7513617,-73.8293898,0
1893,"Census Tract 799, Queens County, New York!!Estimate",97,514,42.9,"42,188","57,759","1,080",0,10,4.4,"761,100","3,302",976,"1,324","3,244","2,221","2,221",(X),"3,244",102.6233604,42.4,"Census Tract 799, Queens County, New York","Census Tract 799, Queens County, New York!!Percent",13.40%,0.00%,7.30%,3.40%,3.40%,6.40%,6.10%,0.90%,4.80%,2.10%,25.60%,22.60%,13.20%,4.20%,13.90%,72.90%,44.00%,0.00%,1.60%,56.00%,5.50%,34.40%,33.20%,14.20%,2.80%,12.40%,0.00%,38.70%,15.80%,38.10%,29.70%,16.50%,16.50%,24.00%,0.60%,18.20%,20.70%,2.00%,0.90%,66.50%,17.20%,799,7031,14000US36081079900,36081079900,LI - Not Losing Low-Income Households,NY,287107,0,0.111,0,40.7469887,-73.8273758,0
1894,"Census Tract 803.01, Queens County, New York!!Estimate",386,450,44.1,"53,021","65,298","1,321",0,0,4.7,"625,000","2,542","1,023","1,496","4,925","3,268","3,249",(X),"4,925",86.48239303,34.7,"Census Tract 803.01, Queens County, New York","Census Tract 803.01, Queens County, New York!!Percent",5.80%,0.00%,8.40%,3.10%,1.70%,11.40%,7.60%,1.10%,6.30%,7.10%,13.10%,21.80%,14.10%,4.40%,4.60%,68.30%,27.50%,0.00%,0.00%,57.60%,2.90%,29.40%,20.90%,20.40%,4.40%,14.80%,2.60%,40.00%,11.80%,38.50%,29.00%,18.70%,15.80%,13.50%,1.30%,17.20%,17.10%,2.20%,0.30%,58.60%,20.50%,803.01,7032,14000US36081080301,36081080301,LI - Ongoing Displacement of Low-Income Households,NY,315274,0,0.122,0,40.7447917,-73.830872,0
1895,"Census Tract 803.02, Queens County, New York!!Estimate",286,266,44.7,"68,010","84,755","1,147",3.4,0,5.2,"665,500","3,046",861,"1,849","3,523","2,092","2,066",(X),"3,531",93.79802415,41.2,"Census Tract 803.02, Queens County, New York","Census Tract 803.02, Queens County, New York!!Percent",7.10%,0.00%,3.00%,2.70%,3.90%,15.40%,12.80%,1.50%,5.00%,9.60%,19.70%,9.90%,6.70%,9.90%,0.90%,92.90%,62.20%,0.00%,0.00%,29.20%,0.90%,28.50%,13.60%,21.90%,14.00%,4.80%,5.90%,47.20%,16.40%,36.40%,23.80%,12.40%,8.00%,30.60%,1.80%,23.30%,36.40%,4.40%,0.70%,57.00%,17.40%,803.02,7033,14000US36081080302,36081080302,MHI - Stable Exclusion,NY,438822,0,0.169,0,40.7403637,-73.8262189,0
